key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec,rec_td,rec_yds,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
https://www.sports-reference.com/cfb/players/dontae-johnson-1.html,Dontae Johnson,257.0,CB,North Carolina State,2014.0,,63,North Carolina State,23.260584731780483,12.0,124.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,51.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.24,0.0,0.0,0.0,0.0,6.82,38.5,200.0
https://www.sports-reference.com/cfb/players/dontari-poe-1.html,Dontari Poe,257.0,DT,Memphis,2012.0,,61,Memphis,22.727079774910813,44.0,105.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,35.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.56,0.0,0.0,0.0,0.0,7.9,29.5,346.0
https://www.sports-reference.com/cfb/players/dontarrious-thomas-1.html,Dontarrious Thomas,257.0,OLB,Auburn,2004.0,,200,Auburn,23.635626762406844,26.0,129.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,24.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6.818255769019652,38.5,241.0
https://www.sports-reference.com/cfb/players/donte-moncrief-1.html,Donte Moncrief,257.0,WR,Mississippi,2014.0,,137,Mississippi,23.899889759809017,13.0,132.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,38.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.3,0.0,0.0,0.0,0.0,7.02,39.5,221.0
https://www.sports-reference.com/cfb/players/donte-nicholson-1.html,Donte Nicholson,257.0,S,Oklahoma,2005.0,,269,Oklahoma,22.36548235151411,18.0,120.1512071647525,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,27.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.2335530879630365,0.0,0.0,0.0,0.0,7.011998711102085,34.97516719256072,212.0
https://www.sports-reference.com/cfb/players/donte-paige-moss-1.html,Donte Paige-Moss,257.0,DE,North Carolina,2012.0,,160,North Carolina,23.25162781305836,26.0,117.5710150499092,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,0.0,34.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.376736701388771,0.0,0.0,0.0,0.0,7.233930465679778,34.27644551165426,268.0
https://www.sports-reference.com/cfb/players/donte-stallworth-1.html,Donte' Stallworth,257.0,WR,Tennessee,2002.0,,207,Tennessee,22.95237862691178,18.050645640367748,128.25220196974817,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,31.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.067981221593465,0.0,0.0,0.0,0.0,6.728965444309173,38.30371350756397,197.0
https://www.sports-reference.com/cfb/players/donte-whitner-1.html,Donte Whitner,257.0,S,Ohio State,2006.0,,149,Ohio State,23.16961763445043,18.0,132.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,34.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.114225466243196,0.0,0.0,0.0,0.0,6.843904446577634,40.0,204.0
https://www.sports-reference.com/cfb/players/dontrell-moore-1.html,DonTrell Moore,257.0,RB,New Mexico,2006.0,,30,SMALL SCHOOL,21.69776879225031,18.0,116.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,48.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.32,0.0,0.0,0.0,0.0,7.1,32.0,210.0
https://www.sports-reference.com/cfb/players/doran-grant-1.html,Doran Grant,257.0,CB,Ohio State,2015.0,,149,Ohio State,21.276243125571174,21.0,116.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.33,0.0,0.0,0.0,0.0,7.118784288544132,33.0,200.0
